subject,predicate,object,source
http://purl.obolibrary.org/obo/HP_0011840,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000084,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0011893,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000738,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0011990,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000775,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0011991,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000775,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0011992,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000775,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0012085,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000775,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0012144,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000576,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0012176,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000623,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0012177,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000623,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0012210,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0012211,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0012310,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000576,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0012311,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000576,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0012312,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000576,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0012574,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/UBERON_0002319,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0012575,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/UBERON_0001285,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0012585,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0012586,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0020177,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000084,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0025418,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/UBERON_0001225,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0025620,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000084,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0025623,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000084,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0025624,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000084,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0025625,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000084,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0030162,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/UBERON_0000074,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0030370,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0030371,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
