phenotype_iri,phenotype_label,as_child,ct
http://purl.obolibrary.org/obo/HP_0000162,Glossoptosis,http://purl.obolibrary.org/obo/UBERON_0001723,
http://purl.obolibrary.org/obo/HP_0000163,Abnormal oral cavity morphology,http://purl.obolibrary.org/obo/UBERON_0000167,
http://purl.obolibrary.org/obo/HP_0000164,Abnormality of the dentition,http://purl.obolibrary.org/obo/UBERON_0003672,
http://purl.obolibrary.org/obo/HP_0000168,Abnormality of the gingiva,http://purl.obolibrary.org/obo/UBERON_0001828,
http://purl.obolibrary.org/obo/HP_0000171,Microglossia,http://purl.obolibrary.org/obo/UBERON_0001723,
http://purl.obolibrary.org/obo/HP_0000172,Abnormal uvula morphology,http://purl.obolibrary.org/obo/UBERON_0001734,
http://purl.obolibrary.org/obo/HP_0000174,Abnormal palate morphology,http://purl.obolibrary.org/obo/UBERON_0001716,
http://purl.obolibrary.org/obo/HP_0000175,Cleft palate,http://purl.obolibrary.org/obo/UBERON_0001716,
http://purl.obolibrary.org/obo/HP_0000176,Submucous cleft hard palate,http://purl.obolibrary.org/obo/UBERON_0012074,
http://purl.obolibrary.org/obo/HP_0000177,Abnormal upper lip morphology,http://purl.obolibrary.org/obo/UBERON_0001834,
http://purl.obolibrary.org/obo/HP_0000178,Abnormal lower lip morphology,http://purl.obolibrary.org/obo/UBERON_0001835,
http://purl.obolibrary.org/obo/HP_0000179,Thick lower lip vermilion,http://purl.obolibrary.org/obo/UBERON_0001835,
http://purl.obolibrary.org/obo/HP_0000185,Cleft soft palate,http://purl.obolibrary.org/obo/UBERON_0001733,
http://purl.obolibrary.org/obo/HP_0000187,Broad alveolar ridges,http://purl.obolibrary.org/obo/UBERON_0004103,
http://purl.obolibrary.org/obo/HP_0000188,Short upper lip,http://purl.obolibrary.org/obo/UBERON_0001834,
http://purl.obolibrary.org/obo/HP_0000189,Narrow palate,http://purl.obolibrary.org/obo/UBERON_0001716,
http://purl.obolibrary.org/obo/HP_0000190,Abnormal oral frenulum morphology,http://purl.obolibrary.org/obo/UBERON_0006689,
http://purl.obolibrary.org/obo/HP_0000193,Bifid uvula,http://purl.obolibrary.org/obo/UBERON_0001734,
http://purl.obolibrary.org/obo/HP_0000194,Open mouth,http://purl.obolibrary.org/obo/UBERON_0000165,
http://purl.obolibrary.org/obo/HP_0000197,Abnormal parotid gland morphology,http://purl.obolibrary.org/obo/UBERON_0001831,
http://purl.obolibrary.org/obo/HP_0000200,Short lingual frenulum,http://purl.obolibrary.org/obo/UBERON_0006689,
http://purl.obolibrary.org/obo/HP_0000204,Cleft upper lip,http://purl.obolibrary.org/obo/UBERON_0001834,
http://purl.obolibrary.org/obo/HP_0000207,Triangular mouth,http://purl.obolibrary.org/obo/UBERON_0000165,
http://purl.obolibrary.org/obo/HP_0000212,Gingival overgrowth,http://purl.obolibrary.org/obo/UBERON_0001828,
http://purl.obolibrary.org/obo/HP_0000214,Lip telangiectasia,http://purl.obolibrary.org/obo/UBERON_0001833,
http://purl.obolibrary.org/obo/HP_0000215,Thick upper lip vermilion,http://purl.obolibrary.org/obo/UBERON_0001834,
http://purl.obolibrary.org/obo/HP_0000216,Broad secondary alveolar ridge,http://purl.obolibrary.org/obo/UBERON_0004527,
http://purl.obolibrary.org/obo/HP_0000217,Xerostomia,http://purl.obolibrary.org/obo/UBERON_0000165,
