id	subject	predicate	object	category	agent_type	gene_expr	knowledge_level	knowledge_source	primary_knowledge_source	source
urn:uuid:ef08e483-bc0c-4b6c-a1c4-8c31dda1eec6	CL:0000084	biolink:has_phenotype	HP:0410389	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:63cd87d5-0eec-4350-9456-1fab99199e8d	CL:0000084	biolink:has_phenotype	HP:0410386	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:061041f6-3a21-494f-87f1-75fa27cb1497	CL:0000084	biolink:has_phenotype	HP:0410390	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:6d3b9a50-4a4d-4fb2-aa81-5153d1160ed8	CL:0000084	biolink:has_phenotype	HP:0410375	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:13323553-1f04-4cb3-93da-730b2d099d84	CL:0000084	biolink:has_phenotype	HP:0410391	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:d5c00632-a0e8-467d-a5e5-dd3c4d50d1bc	CL:0000084	biolink:has_phenotype	HP:0410392	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:f454e113-b157-45e9-8f5f-fb0fc3f7ff98	CL:0000084	biolink:has_phenotype	HP:0410396	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:35472d51-da80-4e8c-8334-008de8ec2117	CL:0000084	biolink:has_phenotype	HP:0410395	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:638950b7-59d2-4fb5-afad-9e7eb962cdb2	CL:0000084	biolink:has_phenotype	HP:0410379	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:ab00823d-916e-4052-b981-75d3a95e5fe9	CL:0000084	biolink:has_phenotype	HP:0410380	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:c6165d58-4c9a-4fb0-a9e0-471319c38bd4	CL:0000084	biolink:has_phenotype	HP:0500266	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:4f0252ce-5c50-4f45-8399-3d3c59ddd095	CL:0000084	biolink:has_phenotype	HP:0500271	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:500566bb-b51c-45b8-8552-2c3b7fd3c594	CL:0000084	biolink:has_phenotype	HP:0500274	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:6e091a50-7826-4fae-b81e-29a106798561	CL:0000084	biolink:has_phenotype	HP:0500265	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:5a48b6fc-4af1-464d-ba11-eec4ed6d9adf	CL:0000084	biolink:has_phenotype	HP:0500270	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:58b82983-d344-4adb-ae67-c745cd8348c5	CL:0000084	biolink:has_phenotype	HP:0500273	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:ce25f472-5bff-4859-8cf5-bc613bb2341e	CL:0000084	biolink:located_in	UBERON:0005215	biolink:CellToAnatomicalEntityAssociation	manual_agent		knowledge_assertion	hra-asctb-kidney-edges.csv	https://purl.humanatlas.io/collection/hra	
urn:uuid:763b30a2-db51-4d30-9c1e-5676a412be09	CL:0000084	biolink:located_in	UBERON:0004200	biolink:CellToAnatomicalEntityAssociation	automated_agent		statistical_association	hra-pop-kidney-edges.csv	https://purl.humanatlas.io/graph/hra-pop	
urn:uuid:2a311b20-7054-49e2-9998-caf06fbccbb6	CL:0000084	biolink:located_in	UBERON:0002113	biolink:CellToAnatomicalEntityAssociation	automated_agent		statistical_association	hra-pop-kidney-edges.csv	https://purl.humanatlas.io/graph/hra-pop	
urn:uuid:fb8b9cba-8888-4aae-b948-b5fab3cdfa6a	CL:0000084	biolink:located_in	UBERON:0001228	biolink:CellToAnatomicalEntityAssociation	automated_agent		statistical_association	hra-pop-kidney-edges.csv	https://purl.humanatlas.io/graph/hra-pop	
